TITULO,URL,Feha
ROSALÍA - LA FAMA (Official Video) ft. The Weeknd - YouTube,https://www.youtube.com/watch?v=e-CEd6xrRQc,11 nov 2021
"KAROL G, Maldy - Gatúbela (Official Video) - YouTube",https://www.youtube.com/watch?v=SK37InR9j38,26 ago 2022
Bad Bunny - Moscow Mule (Official Video) | Un Verano Sin Ti,https://www.youtube.com/watch?v=p38WgakuYDo,6 may 2022
Maka - Te Comía (Video Oficial) - YouTube,https://www.youtube.com/watch?v=TpVwh8UlYWM,27 ene 2023
"Maluma, Marc Anthony - La Fórmula (Official Video) - YouTube",https://www.youtube.com/watch?v=4AtEVbfMVk8,2 feb 2023
El vídeo viral de Victoria y David Beckham bailando salsa,https://videos.marca.com/v/0_no8a5pfd-el-video-viral-de-victoria-y-david-beckham-bailando-salsa,Hace 6 días
Canción de Granja | Videos para Niños | BabyBus en Español,https://www.youtube.com/watch?v=YWAJF8esH4s,15 ene 2023
Cris MJ - Mi Facha [Official Music Video] - YouTube,https://www.youtube.com/watch?v=NIGgXN7YMM4,26 ene 2023
"Anuel AA, Kodak Black & Ñengo Flow - Sufro (Video Oficial)",https://www.youtube.com/watch?v=WFvpLGjv9ig,27 dic 2022
Nicki Nicole - Frío (Official Video) - YouTube,https://www.youtube.com/watch?v=BDQSaJNqjmY,24 nov 2022
Video Feroz de la Semana - The Weather Channel,https://weather.com/es-US/espanol/videos/video/video-feroz-de-la-semana-0,Hace 4 días
